building,lvl,phase,z_m,qG_kPa,qQ_kPa,losa_area_m2,W_sismico_kN,F_sismica_kN,V_basal_kN
ED1,Subterraneo,1,3.96,5.25,2.942,726.8,8846.6,1769.3,8701.2
ED1,Piso1,1,7.92,5.25,2.942,726.8,8846.6,1769.3,8701.2
ED1,Piso2,1,11.88,5.25,2.942,726.8,8846.6,1769.3,8701.2
ED1,Piso3,2,15.84,5.25,2.942,726.8,8846.6,1769.3,8701.2
ED1,Piso4,2,19.8,4.25,2.942,726.8,8119.8,1624.0,8701.2
ED2,sub1,1,-4.01,5.25,2.942,504.69,6304.9,1261.0,6203.9
ED2,piso1,1,-0.05,5.25,2.942,504.69,6304.9,1261.0,6203.9
ED2,piso2,1,3.91,5.25,2.942,504.69,6304.9,1261.0,6203.9
ED2,piso3,2,7.87,5.25,2.942,504.69,6304.9,1261.0,6203.9
ED2,piso4,2,11.83,4.25,2.942,504.69,5800.2,1160.0,6203.9
