building,tag,type,section,material,lvl,phase,orient,cad_id,node_i,node_j,length_m,trib_area_m2,wG_kN_m,wQ_kN_m,G_N_i,G_N_j,G_Vy_i,G_Vy_j,G_Vz_i,G_Vz_j,G_T_i,G_T_j,G_My_i,G_My_j,G_Mz_i,G_Mz_j,Q_N_i,Q_N_j,Q_Vy_i,Q_Vy_j,Q_Vz_i,Q_Vz_j,Q_T_i,Q_T_j,Q_My_i,Q_My_j,Q_Mz_i,Q_Mz_j,EX_N_i,EX_N_j,EX_Vy_i,EX_Vy_j,EX_Vz_i,EX_Vz_j,EX_T_i,EX_T_j,EX_My_i,EX_My_j,EX_Mz_i,EX_Mz_j,EY_N_i,EY_N_j,EY_Vy_i,EY_Vy_j,EY_Vz_i,EY_Vz_j,EY_T_i,EY_T_j,EY_My_i,EY_My_j,EY_Mz_i,EY_Mz_j,COMBO_N_i,COMBO_N_j,COMBO_Vy_i,COMBO_Vy_j,COMBO_Vz_i,COMBO_Vz_j,COMBO_T_i,COMBO_T_j,COMBO_My_i,COMBO_My_j,COMBO_Mz_i,COMBO_Mz_j,COMBO_P_kN,COMBO_M_kNm,COMBO_Mcap_kNm,COMBO_DC
ED1,100001,column,P-70x70,H30,Subterraneo,1,Z,COL-E-3-Subterraneo,100000,100100,3.96,0.0,0.0,0.0,-464.09,464.09,-11.71,11.71,0.0,-0.0,-15.9,15.9,-31.34,31.34,-23.12,23.12,-270.27,270.27,-6.56,6.56,0.0,-0.0,-8.97,8.97,-17.59,17.59,-13.03,13.03,465.01,-465.01,31.75,-31.75,-0.99,0.99,1177.97,-1177.97,324.34,-324.34,10.32,-10.32,980.52,-980.52,1493.83,-1493.83,-4.42,4.42,-46.58,46.58,-16.01,16.01,472.93,-472.93,419.54,-419.54,1130.68,-1130.68,-4.21,4.21,1000.37,-1000.37,230.97,-230.97,327.83,-327.83,-419.54,401.02,382.65,1.048
ED1,100002,column,P-70x70,H30,Subterraneo,1,Z,COL-E-2-Subterraneo,100010,100110,3.96,0.0,0.0,0.0,-1013.86,1013.86,-5.87,5.87,0.0,-0.0,-32.24,32.24,-64.01,64.01,-11.44,11.44,-590.66,590.66,-3.26,3.26,0.0,-0.0,-18.15,18.15,-35.95,35.95,-6.44,6.44,584.64,-584.64,35.13,-35.13,-0.99,0.99,1234.71,-1234.71,421.62,-421.62,17.08,-17.08,-302.75,302.75,1664.73,-1664.73,-4.42,4.42,-3.26,3.26,-1.3,1.3,814.73,-814.73,-1305.41,1305.41,1271.04,-1271.04,-4.21,4.21,1058.39,-1058.39,278.52,-278.52,608.55,-608.55,1305.41,669.26,717.48,0.933
ED1,100003,column,P-70x70,H30,Subterraneo,1,Z,COL-E-1-Subterraneo,100020,100120,3.96,0.0,0.0,0.0,-568.93,568.93,16.93,-16.93,0.0,-0.0,-19.24,19.24,-37.98,37.98,34.16,-34.16,-331.35,331.35,9.55,-9.55,0.0,-0.0,-10.84,10.84,-21.32,21.32,19.18,-19.18,435.3,-435.3,30.49,-30.49,-0.99,0.99,1198.52,-1198.52,329.38,-329.38,7.8,-7.8,-677.92,677.92,1457.34,-1457.34,-4.42,4.42,50.06,-50.06,17.05,-17.05,399.96,-399.96,-1016.96,1016.96,1146.93,-1146.93,-4.21,4.21,1086.13,-1086.13,249.92,-249.92,360.33,-360.33,1016.96,438.52,672.34,0.652
ED1,100004,column,P-70x70,H30,Subterraneo,1,Z,COL-F-3-Subterraneo,100001,100101,3.96,0.0,0.0,0.0,-930.14,930.14,-21.79,21.79,0.0,-0.0,0.38,-0.38,1.23,-1.23,-43.31,43.31,-541.94,541.94,-12.24,12.24,0.0,-0.0,0.17,-0.17,0.68,-0.68,-24.41,24.41,-9.72,9.72,18.78,-18.78,-0.99,0.99,1303.31,-1303.31,575.01,-575.01,6.7,-6.7,1175.83,-1175.83,1482.02,-1482.02,-4.42,4.42,-51.23,51.23,-25.3,25.3,548.51,-548.51,-598.96,598.96,1094.38,-1094.38,-4.21,4.21,1135.11,-1135.11,500.44,-500.44,349.69,-349.69,598.96,610.51,606.93,1.006
ED1,100005,column,P-70x70,H30,Subterraneo,1,Z,COL-F-2-Subterraneo,100011,100111,3.96,0.0,0.0,0.0,-2011.03,2011.03,-10.56,10.56,0.0,-0.0,0.72,-0.72,1.92,-1.92,-20.84,20.84,-1171.75,1171.75,-5.9,5.9,0.0,-0.0,0.34,-0.34,1.03,-1.03,-11.72,11.72,-46.85,46.85,21.42,-21.42,-0.99,0.99,1391.71,-1391.71,735.63,-735.63,11.97,-11.97,-307.66,307.66,1684.57,-1684.57,-4.42,4.42,-3.61,3.61,-2.0,2.0,953.62,-953.62,-3455.68,3455.68,1266.25,-1266.25,-4.21,4.21,1250.89,-1250.89,663.51,-663.51,693.43,-693.43,3455.68,959.73,1053.96,0.911
ED1,100006,column,P-70x70,H30,Subterraneo,1,Z,COL-F-1-Subterraneo,100021,100121,3.96,0.0,0.0,0.0,-1134.5,1134.5,32.26,-32.26,0.0,-0.0,0.41,-0.41,1.31,-1.31,64.79,-64.79,-660.97,660.97,18.16,-18.16,0.0,-0.0,0.18,-0.18,0.72,-0.72,36.4,-36.4,-36.4,36.4,18.46,-18.46,-0.99,0.99,1325.89,-1325.89,584.12,-584.12,6.06,-6.06,-868.01,868.01,1451.67,-1451.67,-4.42,4.42,55.03,-55.03,27.0,-27.0,487.8,-487.8,-2479.23,2479.23,1155.79,-1155.79,-4.21,4.21,1235.16,-1235.16,547.99,-547.99,472.5,-472.5,2479.23,723.57,901.16,0.803
ED1,100007,column,P-70x70,H30,Subterraneo,1,Z,COL-G-3-Subterraneo,100002,100102,3.96,0.0,0.0,0.0,-927.25,927.25,-22.49,22.49,0.0,-0.0,0.02,-0.02,0.5,-0.5,-44.72,44.72,-540.12,540.12,-12.63,12.63,0.0,-0.0,-0.03,0.03,0.29,-0.29,-25.19,25.19,3.92,-3.92,5.08,-5.08,-0.99,0.99,1297.51,-1297.51,563.4,-563.4,1.63,-1.63,928.91,-928.91,1370.99,-1370.99,-4.42,4.42,-51.23,51.23,-25.3,25.3,425.66,-425.66,-767.16,767.16,997.71,-997.71,-4.21,4.21,1129.33,-1129.33,488.87,-488.87,250.8,-250.8,767.16,549.45,633.25,0.868
ED1,100008,column,P-70x70,H30,Subterraneo,1,Z,COL-G-2-Subterraneo,100012,100112,3.96,0.0,0.0,0.0,-2019.83,2019.83,-11.03,11.03,0.0,-0.0,-0.05,0.05,0.37,-0.37,-21.82,21.82,-1176.79,1176.79,-6.17,6.17,0.0,-0.0,-0.07,0.07,0.2,-0.2,-12.27,12.27,0.06,-0.06,5.67,-5.67,-0.99,0.99,1382.64,-1382.64,717.48,-717.48,2.8,-2.8,-281.36,281.36,1529.12,-1529.12,-4.42,4.42,-3.57,3.57,-1.92,1.92,741.92,-741.92,-3407.58,3407.58,1134.74,-1134.74,-4.21,4.21,1241.57,-1241.57,644.87,-644.87,524.87,-524.87,3407.58,831.47,1046.43,0.795
ED1,100009,column,P-70x70,H30,Subterraneo,1,Z,COL-G-1-Subterraneo,100022,100122,3.96,0.0,0.0,0.0,-1132.19,1132.19,33.54,-33.54,0.0,-0.0,-0.02,0.02,0.46,-0.46,67.32,-67.32,-659.51,659.51,18.87,-18.87,0.0,-0.0,-0.05,0.05,0.27,-0.27,37.81,-37.81,-1.75,1.75,4.96,-4.96,-0.99,0.99,1320.02,-1320.02,572.39,-572.39,1.38,-1.38,-647.63,647.63,1337.26,-1337.26,-4.42,4.42,55.0,-55.0,26.94,-26.94,358.2,-358.2,-2278.99,2278.99,1059.82,-1059.82,-4.21,4.21,1229.21,-1229.21,536.08,-536.08,375.02,-375.02,2278.99,654.23,869.83,0.752
ED1,100010,column,P-70x70,H30,Subterraneo,1,Z,COL-H-3-Subterraneo,100003,100103,3.96,0.0,0.0,0.0,-928.84,928.84,-22.36,22.36,0.0,-0.0,-0.27,0.27,-0.07,0.07,-44.5,44.5,-541.11,541.11,-12.56,12.56,0.0,-0.0,-0.19,0.19,-0.03,0.03,-25.06,25.06,-12.06,12.06,-8.01,8.01,-0.99,0.99,1294.1,-1294.1,556.59,-556.59,-2.25,2.25,894.1,-894.1,1309.03,-1309.03,-4.42,4.42,-50.88,50.88,-24.61,24.61,400.93,-400.93,-810.22,810.22,939.64,-939.64,-4.21,4.21,1126.08,-1126.08,482.37,-482.37,229.11,-229.11,810.22,534.02,639.99,0.834
